n,lambda_n
10,5.997714847151874e-13
11,-1.5369897820538288e-14
12,-2.3948459417438257e-15
13,7.563820585665376e-17
14,9.85187811552144e-18
15,-3.7275584395144846e-19
16,-4.1238280248518464e-20
17,1.836227510374914e-21
18,1.743694268779569e-22
19,-9.034504661409995e-24
20,-7.41199664931446e-25
21,4.438136436844843e-26
22,3.1558450111250416e-27
23,-2.1763832128631557e-28
24,-1.3410425089427997e-29
25,1.2798963844992821e-30
26,7.014025092270012e-30
27,2.2924568652284953e-28
28,7.673339022035616e-27
29,2.607193226719167e-25
30,8.98700574171245e-24
31,3.1409878846861247e-22
32,1.1125010183573194e-20
33,3.991225777888411e-19
34,1.4497281739156464e-17
35,5.329289263670934e-16
36,1.981843109127915e-14
37,7.452872217946582e-13
38,2.833212991565021e-11
39,1.0884071779641917e-09
40,4.223998162462577e-08
41,1.6555684233066102e-06
42,6.551479993276084e-05
43,0.0026168852490547345
44,0.10548066956317716
45,4.2894283263716
46,175.94006397867724
47,7277.362819855275
48,303484.70540570555
49,12757534.02065144
50,540482061.3874987
51,23072864957.949833
52,992320329958.2075
53,42989260384158.0
54,1875669616445894.8
55,8.240894652923456e+16
56,3.645440620346248e+18
57,1.6233861111137318e+20
58,7.276634926097147e+21
59,3.282610548518379e+23
60,1.490161361719471e+25
61,6.806432436224554e+26
62,3.1277144900392355e+28
63,1.445795279089433e+30
64,6.72219563844734e+31
65,3.143361005647427e+33
66,1.4781271728216299e+35
67,6.989094056180507e+36
68,3.322615023760798e+38
69,1.5879947276846143e+40
70,7.629377125162803e+41
71,3.684363026376174e+43
72,1.7882676432583134e+45
73,8.722961593723564e+46
74,4.2758490391713583e+48
75,2.1060775656098985e+50
76,1.042287560490944e+52
77,5.182394481009398e+53
78,2.5886451254074097e+55
79,1.2989246832304403e+57
80,6.546903046255199e+58
81,3.3143640303574164e+60
82,1.6851923825252101e+62
83,8.605123356842712e+63
84,4.412625740741376e+65
85,2.2721876091646693e+67
86,1.1748265287268299e+69
87,6.099043824865144e+70
88,3.1789580846114387e+72
89,1.6634894555015493e+74
90,8.738667755139244e+75
91,4.608277116869329e+77
92,2.4393769127967295e+79
93,1.2961207764704832e+81
94,6.912227754145337e+82
95,3.699788012043917e+84
96,1.9874790453147507e+86
97,1.0714608596936792e+88
98,5.796684184374378e+89
99,3.1469837104027797e+91
100,1.7143647260664207e+93
